Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
University of Wisconsin-Stevens Point,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,42%,Public
University of Wisconsin-Stout,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,54%,Public
University of Wisconsin-Superior,WI,Test Optional,,Yes,https://www.uwsuper.edu/admissions/admissions-requirements/,64%,Public
University of Wisconsin-Whitewater,WI,Test Optional,,Yes,https://admissions.wisc.edu/act_sat_faq/,28%,Public
University of Wyoming,WY,Test Optional,,Yes,https://acalogcatalog.uwyo.edu/content.ph,,Public
Upper Iowa University,IA,Test Optional,3,Unannounced,https://uiu.edu/admissions/fayette-admissions/,43%,Private not-for-profit
Ursinus College,PA,Test Optional,4,No,,58%,Private not-for-profit
Ursuline College,OH,Test Optional,,Unannounced,[https://www.ursuline.edu/news/2020/07/14/ursuline-college-makes-standardized-tests-optional-for-admission,66%,Private not-for-profit
Uta Mesivta of Kiryas Joel,NY,Test Optional,,Unannounced,https://utam.edu/Docs/Admission%20Policy.pdf,,Private not-for-profit
Utah State University,UT,Test Optional,,Yes,https://www.usu.edu/admissions/apply/test-optional,6%,Public
Utah Tech University,UT,Test Optional,,Unannounced,https://admissions.utahtech.edu/first-year-admissions/,,Public
Utah Valley University,UT,Test Optional,1,Unannounced,,,Public
Utica University,NY,Test Optional,4,No,,81%,Private not-for-profit
Valdosta State University,GA,Test Optional,3,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,16%,Public
Valencia College,FL,Test Optional,6,Unannounced,,,Public
Valley City State University,ND,Test Optional,,Unannounced,https://www.valleynewslive.com/2022/05/27/north-dakota-public-universities-go-test-optional/,26%,Public
Valley College-Martinsburg,WV,Test Optional,,Unannounced,,,Private for-profit
Valor Christian College,OH,Test Optional,,Unannounced,https://www.valorcollege.edu/root/pdf/academics/catalog/2022-2023_Academic_Catalog.pdf,,
Valparaiso University,IN,Test Optional,,Yes,https://www.valpo.edu/admission-aid/undergraduate/admission-process/sat-and-act-testing-policy/,71%,Private not-for-profit
Vanderbilt University,TN,Test Optional,,Yes,https://admissions.vanderbilt.edu/apply/testing-policies/,39%,Private not-for-profit
VanderCook College of Music,IL,Test Optional,,Unannounced,,73%,Private not-for-profit
Vanguard University of Southern California,CA,Test Optional,,Unannounced,https://www.vanguard.edu/admissions/undergraduate/how-to-apply,100%,Private not-for-profit
Vassar College,NY,Test Optional,,No,https://www.vassar.edu/news/vassar-makes-test-optional-policy-permanent-applicants,49%,Private not-for-profit
Vaughn College of Aeronautics and Technology,NY,Test Optional,6,Unannounced,https://www.vaughn.edu/admissions-aid/academics/undergraduate-admissions/,,Private not-for-profit
Veritas Baptist College,--,Test Optional,,Unannounced,,,
Vermont Technical College,VT,Test Optional,6,Unannounced,,,Public
Villa Maria College,NY,Test Optional,1,Unannounced,,94%,Private not-for-profit
Villanova University,PA,Test Optional,,Yes,https://www1.villanova.edu/university/undergraduate-admission/applying-to-villanova/first-year-applicants.html,57%,Private not-for-profit
Vincennes University,IN,Test Optional,,Unannounced,,,Public
Virginia Commonwealth University,VA,Test Optional,"3,4",No,,64%,Public
Virginia Military Institute,VA,Test Optional,,Yes,https://www.vmi.edu/admissions-and-aid/apply,77%,Public
Virginia Polytechnic Institute and State University,VA,Test Optional,,Yes,https://www.vt.edu/admissions/undergraduate/apply/freshman-requirements.html,54%,Public
Virginia State University,VA,Test Optional,3,Unannounced,http://www.vsu.edu/admissions/apply/freshman-apply/freshman-requirements.php,79%,Public
Virginia Union University,VA,Test Optional,,Yes,https://www.vuu.edu/admissions-at-union/apply-online,94%,Private not-for-profit
Virginia University of Lynchburg,VA,Test Optional,,Unannounced,,,Private not-for-profit
Virginia Wesleyan University,VA,Test Optional,3,No,,86%,Private not-for-profit
Viterbo University,WI,Test Optional,,Unannounced,https://www.viterbo.edu/first-year-admissions/first-year-admissions-requirements,57%,Private not-for-profit
Voorhees University,SC,Test Optional,1,Unannounced,,,Private not-for-profit
Wabash College,IN,Test Optional,,No,https://www.wabash.edu/admissions/apply,35%,Private not-for-profit
Wade College,TX,Test Optional,3,Unannounced,,,Private for-profit
Wagner College,NY,Test Optional,4,No,,70%,Private not-for-profit
Wake Forest University,NC,Test Optional,,No,https://news.wfu.edu/test-optional-admissions/,,Private not-for-profit
Walden University,--,Test Optional,,Unannounced,,,
Waldorf University,IA,Test Optional,,Unannounced,https://www.waldorf.edu/admissions/requirements/,,Private for-profit
Walla Walla Community College,WA,Test Optional,,Unannounced,https://www.wwcc.edu/getting-started/,,Public
Walla Walla University,WA,Test Optional,1,Unannounced,,,Private not-for-profit
Walnut Hill College,PA,Test Optional,6,Unannounced,,100%,Private for-profit
Walsh University,OH,Test Optional,3,No,,66%,Private not-for-profit
Warner Pacific University,OR,Test Optional,,Unannounced,https://www.warnerpacific.edu/wp-content/uploads/2020/03/March-24-2020-WPU-update-for-Students.pdf,100%,Private not-for-profit
Warner University,FL,Test Optional,3,Unannounced,,40%,Private not-for-profit
Warren Wilson College,NC,Test Optional,,No,https://www.warren-wilson.edu/admission/first-year-students/,83%,Private not-for-profit
Wartburg College,IA,Test Optional,,Unannounced,https://www.wartburg.edu/2020/08/07/wartburg-college-use-test-optional-admissions-process-response-pandemic/,56%,Private not-for-profit
Washburn University,KS,Test Optional,,Unannounced,,,Public
Washington & Jefferson College,PA,Test Optional,,No,,44%,Private not-for-profit
Washington Adventist University,MD,Test Optional,,Unannounced,,100%,Private not-for-profit
Washington and Lee University,VA,Test Optional,,Yes,https://www.wlu.edu/admissions/apply/standardized-tests,46%,Private not-for-profit
Washington College,MD,Test Optional,3,No,https://www.washcoll.edu/admissions/apply/files/test-optional-form_060520.pdf,63%,Private not-for-profit
Washington State University,WA,Test Free,,No,https://admission.wsu.edu/apply/as/freshman/assured-admission/,,Public
Washington State University Everett,WA,Test Free,,No,"https://wsu.edu/admissions/#:~:text=WSU%20admission%20is%20test%20free,%2C%201%20visual%2Fperforming%20arts.",,
Washington State University Spokane,WA,Test Free,,No,"https://wsu.edu/admissions/#:~:text=WSU%20admission%20is%20test%20free,%2C%201%20visual%2Fperforming%20arts.",,
Washington State University Tri-Cities,WA,Test Free,,No,"https://wsu.edu/admissions/#:~:text=WSU%20admission%20is%20test%20free,%2C%201%20visual%2Fperforming%20arts.",,
Washington State University Vancouver,WA,Test Free,,No,"https://wsu.edu/admissions/#:~:text=WSU%20admission%20is%20test%20free,%2C%201%20visual%2Fperforming%20arts.",,
Washington University in St Louis,MO,Test Optional,,Yes,https://admissions.wustl.edu/how-to-apply/application-process/,40%,Private not-for-profit
Washington University of Science and Technology,--,Test Optional,,Unannounced,,,Private for-profit
Wayland Baptist University,TX,Test Optional,,Unannounced,,,Private not-for-profit
Wayne State College,NE,Test Optional,1,Unannounced,,,Public
Wayne State University,MI,Test Optional,,Yes,https://wayne.edu/admissions/first-year/application-process#test-optional,42%,Public
Waynesburg University,PA,Test Optional,,Yes,https://www.waynesburg.edu/admissions/undergraduate/first-year-students,64%,Private not-for-profit
Weatherford College,TX,Test Optional,6,Unannounced,https://wc.edu/admissions/how-to-apply/new-student-checklist.php,,Public
Webber International University,FL,Test Optional,,Unannounced,,100%,Private not-for-profit
Weber State University,UT,Test Optional,1,Unannounced,https://www.weber.edu/Admissions/new-freshman-in-state.html,,Public
Webster University,MO,Test Optional,,Unannounced,https://www.webster.edu/catalog/current/undergraduate-catalog/admission.html#freshmenadmission,50%,Private not-for-profit
Welch College,TN,Test Optional,1,Unannounced,,,Private not-for-profit
Wellesley College,MA,Test Optional,,Yes,https://www.wellesley.edu/admission-aid/apply/first-year-applicants,42%,Private not-for-profit
Wentworth Institute of Technology,MA,Test Optional,,No,,63%,Private not-for-profit
Wesley Biblical Seminary,MS,Test Optional,,Unannounced,https://wbs.edu/admissions/policies/,,Private not-for-profit
Wesleyan College,GA,Test Optional,,No,https://www.wesleyancollege.edu/registrar/catalog/Undergraduate-Admission.cfm,100%,Private not-for-profit
Wesleyan University,CT,Test Optional,,No,"https://www.wesleyan.edu/admission/apply/application-process.html#:~:text=Standardized%20Testing%E2%80%94Wesleyan%20does%20not,of%20the%20application%20for%20admission.",24%,Private not-for-profit
West Chester University of Pennsylvania,PA,Test Optional,,Yes,https://catalog.wcupa.edu/general-information/admissions-enrollment/undergraduate-admissions/first-year-admissions/,76%,Public
West Coast University-Dallas,TX,Test Optional,,Unannounced,,,Private for-profit
West Coast University-Los Angeles,CA,Test Optional,,Unannounced,,,Private for-profit
West Coast University-Miami,FL,Test Optional,,Unannounced,,,Private for-profit
West Coast University-Ontario,CA,Test Optional,,Unannounced,,,Private for-profit
West Coast University-Orange County,CA,Test Optional,,Unannounced,,,Private for-profit
West Liberty University,WV,Test Optional,,Yes,https://westliberty.edu/admissions/#,-5%,Public
West Los Angeles College,CA,Test Optional,,Unannounced,https://www.wlac.edu/admissions/first-time-students,,Public
West Texas A & M University,TX,Test Optional,3,Unannounced,https://www.wtamu.edu/admissions/apply/freshman-admission-requirements.html,26%,Public
West Virginia State University,WV,Test Optional,,Unannounced,https://www.wvstateu.edu/admissions.aspx,19%,Public
West Virginia University,WV,Test Optional,3,No,https://admissions.wvu.edu/how-to-apply/first-time-freshmen/admission-requirements,-11%,Public
West Virginia University at Parkersburg,WV,Test Optional,,Unannounced,,,Public
West Virginia University Institute of Technology,WV,Test Optional,"1,3",Unannounced,https://admissions.wvutech.edu/about-tech/faqs,-16%,Public
West Virginia Wesleyan College,WV,Test Optional,,Yes,https://www.wvwc.edu/apply-now-undergraduate/,33%,Private not-for-profit
Westcliff University,CA,Test Optional,,Unannounced,,,Private for-profit
Western Carolina University,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,63%,Public
Western Colorado University,CO,Test Optional,,Unannounced,https://highered.colorado.gov/college-admission-use-of-national-test-scores,49%,Public
Western Connecticut State University,CT,Test Optional,6,No,,66%,Public
Western Governors University,UT,Test Optional,,No,https://www.wgu.edu/admissions/no-standardized-testing.html,,Private not-for-profit
Western Illinois University,IL,Test Optional,,No,,,Public
Western Kentucky University,KY,Test Optional,3,Unannounced,https://www.wku.edu/news/articles/index.php?view=article&articleid=9019,98%,Public
Western Michigan University,MI,Test Optional,,Unannounced,https://wmich.edu/apply/transcripts/testing,48%,Public
Western Nevada College,NV,Test Optional,,Unannounced,,,Public
Western New England University,MA,Test Optional,,No,,77%,Private not-for-profit
Western New Mexico University,NM,Test Optional,,Unannounced,,,Public
Western Oregon University,OR,Test Optional,3,No,https://catalog.wou.edu/content.php?catoid=3&navoid=306#freshmenadmissionrequirements,95%,Public
Western Technical College,TX,Test Optional,,Unannounced,https://www.westerntech.edu/admissions/high-school-students/,,Private for-profit
Western Washington University,WA,Test Optional,,Unannounced,https://admissions.wwu.edu/first-year/apply,86%,Public
Western Wyoming Community College,WY,Test Optional,,Unannounced,https://www.westernwyoming.edu/consumer-information/policies-procedures/5000/policy-5220a.php,,Public
Westfield State University,MA,Test Optional,,Unannounced,http://www.westfield.ma.edu/admissions/undergraduate-admissions/test-optional-admission,100%,Public
Westminster College,UT,Test Optional,,Unannounced,https://westminstercollege.edu/academics/honors-college/apply-to-the-honors-college,42%,Private not-for-profit
Westminster College,MO,Test Optional,,Unannounced,https://www.wcmo.edu/apply.html,22%,Private not-for-profit
Westminster College,PA,Test Optional,,Unannounced,https://westminstercollege.edu/academics/honors-college/apply-to-the-honors-college,100%,Private not-for-profit
Westmont College,CA,Test Optional,,No,https://www.westmont.edu/admissions-aid/first-year-students,77%,Private not-for-profit
Wheaton College,IL,Test Optional,,Unannounced,https://catalog.wheaton.edu/undergraduate/admissions/,39%,Private not-for-profit
Wheaton College (Massachusetts),MA,Test Optional,,No,https://www.wheaton.edu/news/recent-news/2020/june/wheaton-college-suspends-test-score-requirement/,70%,Private not-for-profit
Wheeling University,WV,Test Optional,,Unannounced,https://wheeling.edu/wu-news/wheeling-university-to-waive-sat-act-exam-scores-for-student-applicants/,100%,Private not-for-profit
Whitman College,WA,Test Optional,,No,"https://www.whitman.edu/admission-and-aid/applying-to-whitman/testing-policy#:~:text=Whitman%20College%20is%20test%2Doptional,part%20of%20the%20admission%20process.",71%,Private not-for-profit
Whittier College,CA,Test Free,,No,https://www.whittier.edu/admission/applying/firstyear,86%,Private not-for-profit
Whitworth University,WA,Test Optional,3,No,,63%,Private not-for-profit
Wichita State University,KS,Test Optional,"2,3",Unannounced,,17%,Public
Widener University,PA,Test Optional,,Yes,https://www.widener.edu/admissions-aid/undergraduate-admissions/apply#tab-2,81%,Private not-for-profit
Wiley College,TX,Test Optional,1,Unannounced,,,Private not-for-profit
Wilkes University,PA,Test Optional,,No,https://apply.wilkes.edu/apply/,62%,Private not-for-profit
